date,pm25,pm10,o3,no2,so2,co
2016-01-23,,124.0,,,,
2016-01-24,,59.0,,,,
2016-01-25,,44.0,,,,
2016-01-26,,40.0,,,,
2016-01-27,,31.0,,,,
2016-01-28,,19.0,,,,
2016-01-29,,44.0,,,,
2016-01-30,,22.0,,,,
2016-01-31,,14.0,,,,
2016-02-01,,21.0,,,,
2016-02-02,,12.0,,,,
2016-02-03,,21.0,,,,
2016-02-04,,22.0,,,,
2016-02-05,,27.0,,,,
2016-02-06,,45.0,,,,
2016-02-07,,27.0,,,,
2016-02-08,,23.0,,,,
2016-02-09,,11.0,,,,
2016-02-10,,12.0,,,,
2016-02-11,,17.0,,,,
2016-02-12,,21.0,,,,
2016-02-13,,21.0,,,,
2016-02-14,,43.0,,,,
2016-02-15,,29.0,,,,
2016-02-16,,23.0,,,,
2016-02-17,,19.0,,,,
2016-02-18,,37.0,,,,
2016-02-19,,30.0,,,,
2016-02-20,,29.0,,,,
2016-02-21,,12.0,,,,
2016-02-22,,13.0,,,,
2016-02-23,,30.0,,,,
2016-02-24,,30.0,,,,
2016-02-25,,45.0,,,,
2016-02-26,,45.0,,,,
2016-02-27,,56.0,,,,
2016-02-28,,35.0,,,,
2016-02-29,,37.0,,,,
2016-03-01,,19.0,,,,
2016-03-02,,33.0,,,,
2016-03-03,,27.0,,,,
2016-03-04,,41.0,,,,
2016-03-05,,43.0,,,,
2016-03-06,,29.0,,,,
2016-03-07,,38.0,,,,
2016-03-08,,29.0,,,,
2016-03-09,,40.0,,,,
2016-03-10,,17.0,,,,
2016-03-11,,24.0,,,,
2016-03-12,,15.0,,,,
2016-03-13,,18.0,,,,
2016-03-14,,24.0,,,,
2016-03-15,,18.0,,,,
2016-03-16,,35.0,,,,
2016-03-17,,75.0,,,,
2016-03-18,,52.0,,,,
2016-03-19,,18.0,,,,
2016-03-20,,42.0,,,,
2016-03-21,,30.0,,,,
2016-03-22,,22.0,,,,
2016-03-23,,40.0,,,,
2016-03-24,,28.0,,,,
2016-03-25,,50.0,,,,
2016-03-26,,39.0,,,,
2016-03-27,,32.0,,,,
2016-03-28,,28.0,,,,
2016-03-29,,25.0,,,,
2016-03-30,,24.0,,,,
2016-03-31,,29.0,,,,
2016-04-01,,21.0,,,,
2016-04-02,,34.0,,,,
2016-04-03,,28.0,,,,
2016-04-04,,42.0,,,,
2016-04-05,,55.0,,,,
2016-04-06,,43.0,,,,
2016-04-07,,38.0,,,,
2016-04-08,,29.0,,,,
2016-04-09,,23.0,,,,
2016-04-10,,40.0,,,,
2016-04-11,,51.0,,,,
2016-04-12,,62.0,,,,
2016-04-13,,51.0,,,,
2016-04-14,,42.0,,,,
2016-04-15,,27.0,,,,
2016-04-16,,23.0,,,,
2016-04-17,,26.0,,,,
2016-04-18,,19.0,,,,
2016-04-19,,42.0,,,,
2016-04-20,,23.0,,,,
2016-04-21,,35.0,,,,
2016-04-22,,38.0,,,,
2016-04-23,,37.0,,,,
2016-04-24,,16.0,,,,
2016-04-25,,20.0,,,,
2016-04-26,,35.0,,,,
2016-04-27,,21.0,,,,
2016-04-28,,14.0,,,,
2016-04-29,,21.0,,,,
2016-04-30,,20.0,,,,
2016-05-01,,21.0,,,,
2016-05-02,,15.0,,,,
2016-05-03,,16.0,,,,
2016-05-04,,26.0,,,,
2016-05-05,,31.0,,,,
2016-05-06,,25.0,,,,
2016-05-07,,18.0,,,,
2016-05-08,,10.0,,,,
2016-05-09,,22.0,,,,
2016-05-10,,21.0,,,,
2016-05-11,,28.0,,,,
2016-05-12,,23.0,,,,
2016-05-13,,19.0,,,,
2016-05-14,,22.0,,,,
2016-05-15,,22.0,,,,
2016-05-16,,19.0,,,,
2016-05-17,,22.0,,,,
2016-05-18,,24.0,,,,
2016-05-19,,30.0,,,,
2016-05-20,,29.0,,,,
2016-05-21,,36.0,,,,
2016-05-22,,26.0,,,,
2016-05-23,,28.0,,,,
2016-05-24,,25.0,,,,
2016-05-25,,29.0,,,,
2016-05-26,,28.0,,,,
2016-05-27,,35.0,,,,
2016-05-28,,13.0,,,,
2016-05-29,,22.0,,,,
2016-05-30,,23.0,,,,
2016-05-31,,27.0,,,,
2016-06-01,,13.0,,,,
2016-06-02,,14.0,,,,
2016-06-03,,16.0,,,,
2016-06-04,,22.0,,,,
2016-06-05,,21.0,,,,
2016-06-06,,12.0,,,,
2016-06-07,,14.0,,,,
2016-06-08,,24.0,,,,
2016-06-09,,32.0,,,,
2016-06-10,,24.0,,,,
2016-06-11,,27.0,,,,
2016-06-13,,22.0,,,,
2016-06-14,,22.0,,,,
2016-06-15,,25.0,,,,
2016-06-16,,18.0,,,,
2016-06-17,,32.0,,,,
2016-06-18,,14.0,,,,
2016-06-19,,18.0,,,,
2016-06-20,,17.0,,,,
2016-06-21,,22.0,,,,
2016-06-22,,26.0,,,,
2016-06-23,,32.0,,,,
2016-06-24,,40.0,,,,
2016-06-25,,36.0,,,,
2016-06-26,,27.0,,,,
2016-06-27,,15.0,,,,
2016-06-28,,21.0,,,,
2016-06-29,,28.0,,,,
2016-06-30,,24.0,,,,
2016-07-01,,23.0,,,,
2016-07-02,,23.0,,,,
2016-07-03,,12.0,,,,
2016-07-04,,21.0,,,,
2016-07-05,,23.0,,,,
2016-07-06,,16.0,,,,
2016-07-07,,16.0,,,,
2016-07-08,,26.0,,,,
2016-07-09,,16.0,,,,
2016-07-10,,14.0,,,,
2016-07-11,,23.0,,,,
2016-07-12,,28.0,,,,
2016-07-13,,16.0,,,,
2016-07-14,,12.0,,,,
